doctor,title,folder
Dr. Muqdad Al Hammadi,Consultant Plastic Surgeon,19
Dr. Mohamed Khamas,Specialist Plastic Surgeon,19
Dr. Mais Al Karmi,Specialist Plastic Surgeon,19
Dr. Emad El Danan,Specialist Plastic Surgeon,19
Dr. Roseli Cardinali,Specialist Plastic Surgeon,19
Dr. Paulo Michels,Specialist Plastic Surgeon,19
Dr. Miguel Gómez Bravo,Specialist Plastic Surgeon,19
Dr. Abdulfatah Al Anni,Specialist Plastic Surgeon,19
Dr. Abdulbaqi Al Khatib,Specialist Plastic Surgeon,19
Dr. Albertine Paris,Consultant Plastic Surgeon,19
Dr. Hiam Jablee,Specialist Dermatology,22
Dr. Rokea Al Rafai,Specialist Dermatology,22
Dr. Ahmed Al Machhour,Specialist Dermatology,22
Dr. Zaltina Mineva,Specialist Dermatology,22
Dr. Rasha Abu Obida,GP Aesthetic,26
Dr. Hamda Al Marzoqi,GP Aesthetic,26
Dr. Ahmed Al Khatib,GP Aesthetic,26
Dr. Abdulkader Ramo,GP Aesthetic,26
Dr. Niveen Hussein,Gynecology Consultant,21
Dr. Harith Zaidan,Gynecology Specialist,21
Dr. Yezhisai Thiyagarajan,Gynecology Consultant,21
Dr. Wissam Al Jundi,Consultant Vascular Surgeon,29
Dr. Pouria Sebatian,Consultant Vascular Surgeon,29
Dr. Marwan Youssef,Specialist Otolaryngologist,20
Dr. Tawfek Al Abed,Specialist Otolaryngologist,20
Dr. Mawaheb,Otolaryngology & Rhinoplasty Consultant,20
Ms. Mariia Oleksyk,Aesthetician,23
Ms. Huda Mohamed,Aesthetician,23
Ms. Saloua Marrsid,Aesthetician,23
Ms. Kalinika,Aesthetician,23
Ms. Joicie,Aesthetician,23
Ms. Kritein Oliver,Aesthetician,23
Ms. Renata,Aesthetician,23
